7.020000 397
8.260000 455
9.580000 527
11.000000 633
12.340000 693
13.730000 803
15.160000 834
16.410000 895
17.840000 1019
19.190000 1050
20.600000 1182
22.010000 1228
23.640000 1312
24.790000 1374
26.340000 1439
27.560000 1483
28.910000 1596
30.360000 1671
32.000000 1729
33.440000 1830
35.210000 1917
36.890000 2021
37.590000 2031
39.040000 2155
41.070000 2229
42.220000 2345
43.860000 2412
45.990000 2469
47.360000 2515
48.700000 2595
50.700000 2708
52.580000 2743
54.340000 2789
56.030000 2902
58.180000 2999
59.400000 3075
61.690000 3143
63.580000 3256
65.360000 3303
66.940000 3356
68.940000 3409
70.610000 3519
71.900000 3615
73.770000 3637
75.540000 3745
77.650000 3820
